series_id,date,value
CN_10Y_YIELD,2025-11-18,1.8121
CN_10Y_YIELD,2025-11-19,1.8179
CN_10Y_YIELD,2025-11-20,1.8135
CN_10Y_YIELD,2025-11-21,1.8166
CN_10Y_YIELD,2025-11-24,1.821
CN_10Y_YIELD,2025-11-25,1.8301
CN_10Y_YIELD,2025-11-26,1.8462
CN_10Y_YIELD,2025-11-27,1.8537
CN_10Y_YIELD,2025-11-28,1.8412
CN_10Y_YIELD,2025-12-01,1.8366
CN_10Y_YIELD,2025-12-02,1.8442
CN_10Y_YIELD,2025-12-03,1.8519
CN_10Y_YIELD,2025-12-04,1.8718
CN_10Y_YIELD,2025-12-05,1.848
CN_10Y_YIELD,2025-12-08,1.8499
CN_10Y_YIELD,2025-12-09,1.8425
CN_10Y_YIELD,2025-12-10,1.8447
CN_10Y_YIELD,2025-12-11,1.8404
CN_10Y_YIELD,2025-12-12,1.8396
CN_10Y_YIELD,2025-12-15,1.8488
CN_10Y_YIELD,2025-12-16,1.8458
CN_10Y_YIELD,2025-12-17,1.834
CN_10Y_YIELD,2025-12-18,1.8356
CN_10Y_YIELD,2025-12-19,1.8308
CN_10Y_YIELD,2025-12-22,1.8415
CN_10Y_YIELD,2025-12-23,1.8352
CN_10Y_YIELD,2025-12-24,1.8356
CN_10Y_YIELD,2025-12-25,1.8386
CN_10Y_YIELD,2025-12-26,1.8376
CN_10Y_YIELD,2025-12-29,1.8584
CN_10Y_YIELD,2025-12-30,1.8582
CN_10Y_YIELD,2025-12-31,1.8473
CN_10Y_YIELD,2026-01-04,1.8427
CN_10Y_YIELD,2026-01-05,1.8584
CN_10Y_YIELD,2026-01-06,1.8829
CN_10Y_YIELD,2026-01-07,1.9019
CN_10Y_YIELD,2026-01-08,1.8905
CN_10Y_YIELD,2026-01-09,1.8782
CN_10Y_YIELD,2026-01-12,1.8585
CN_10Y_YIELD,2026-01-13,1.8519
CN_10Y_YIELD,2026-01-14,1.8494
CN_10Y_YIELD,2026-01-15,1.8544
CN_10Y_YIELD,2026-01-16,1.8424
CN_10Y_YIELD,2026-01-19,1.8393
CN_10Y_YIELD,2026-01-20,1.8326
CN_10Y_YIELD,2026-01-21,1.8312
CN_10Y_YIELD,2026-01-22,1.8425
CN_10Y_YIELD,2026-01-23,1.8298
CN_10Y_YIELD,2026-01-26,1.8242
CN_10Y_YIELD,2026-01-27,1.8311
CN_10Y_YIELD,2026-01-28,1.8164
CN_10Y_YIELD,2026-01-29,1.8174
CN_10Y_YIELD,2026-01-30,1.8112
CN_10Y_YIELD,2026-02-02,1.82
CN_10Y_YIELD,2026-02-03,1.8172
CN_10Y_YIELD,2026-02-04,1.8193
CN_10Y_YIELD,2026-02-05,1.8169
CN_10Y_YIELD,2026-02-06,1.8102
CN_10Y_YIELD,2026-02-09,1.8114
CN_10Y_YIELD,2026-02-10,1.8094
CN_10Y_YIELD,2026-02-11,1.7994
CN_10Y_YIELD,2026-02-12,1.7893
CN_10Y_YIELD,2026-02-13,1.7928
CN_10Y_YIELD,2026-02-14,1.7899
CN_10Y_YIELD,2026-02-24,1.8023
CN_10Y_YIELD,2026-02-25,1.8158
CN_10Y_YIELD,2026-02-26,1.8288
CN_10Y_YIELD,2026-02-27,1.7877
CN_10Y_YIELD,2026-02-28,1.7753
CN_10Y_YIELD,2026-03-02,1.7761
CN_10Y_YIELD,2026-03-03,1.7807
CN_10Y_YIELD,2026-03-04,1.7768
CN_10Y_YIELD,2026-03-05,1.7779
CN_10Y_YIELD,2026-03-06,1.781
CN_10Y_YIELD,2026-03-09,1.8054
CN_10Y_YIELD,2026-03-10,1.8055
CN_10Y_YIELD,2026-03-11,1.8075
CN_10Y_YIELD,2026-03-12,1.8052
CN_10Y_YIELD,2026-03-13,1.8143
CN_10Y_YIELD,2026-03-16,1.8312
CN_10Y_YIELD,2026-03-17,1.8314
CN_10Y_YIELD,2026-03-18,1.8175
CN_10Y_YIELD,2026-03-19,1.8252
CN_10Y_YIELD,2026-03-20,1.8299
CN_10Y_YIELD,2026-03-23,1.8316
CN_10Y_YIELD,2026-03-24,1.8272
CN_10Y_YIELD,2026-03-25,1.8233
CN_10Y_YIELD,2026-03-26,1.8194
CN_10Y_YIELD,2026-03-27,1.8172
CN_10Y_YIELD,2026-03-30,1.8063
CN_10Y_YIELD,2026-03-31,1.8171
CN_10Y_YIELD,2026-04-01,1.8244
CN_10Y_YIELD,2026-04-02,1.8209
CN_10Y_YIELD,2026-04-03,1.8199
CN_10Y_YIELD,2026-04-07,1.8171
CN_10Y_YIELD,2026-04-08,1.8136
CN_10Y_YIELD,2026-04-09,1.8192
CN_10Y_YIELD,2026-04-10,1.8128
CN_10Y_YIELD,2026-04-13,1.7933
CN_10Y_YIELD,2026-04-14,1.7829
CN_10Y_YIELD,2026-04-15,1.7809
CN_10Y_YIELD,2026-04-16,1.7812
CN_10Y_YIELD,2026-04-17,1.7623
CN_10Y_YIELD,2026-04-20,1.7627
CN_10Y_YIELD,2026-04-21,1.751
CN_10Y_YIELD,2026-04-22,1.7389
CN_10Y_YIELD,2026-04-23,1.7548
CN_10Y_YIELD,2026-04-24,1.7601
CN_10Y_YIELD,2026-04-27,1.7697
CN_10Y_YIELD,2026-04-28,1.7654
CN_10Y_YIELD,2026-04-29,1.7444
CN_10Y_YIELD,2026-04-30,1.7473
CN_10Y_YIELD,2026-05-06,1.7654
CN_10Y_YIELD,2026-05-07,1.7631
CN_10Y_YIELD,2026-05-08,1.7648
CN_10Y_YIELD,2026-05-09,1.767
CN_10Y_YIELD,2026-05-11,1.7622
CN_10Y_YIELD,2026-05-12,1.7592
CN_10Y_YIELD,2026-05-13,1.7514
CN_10Y_YIELD,2026-05-14,1.7588
CN_10Y_YIELD,2026-05-15,1.7658
CN_10Y_YIELD,2026-05-18,1.7585
CN_10Y_YIELD,2026-05-19,1.7345
CN_10Y_YIELD,2026-05-20,1.7382
CN_10Y_YIELD,2026-05-21,1.7448
CN_10Y_YIELD,2026-05-22,1.7519
CN_10Y_YIELD,2026-05-25,1.7484
CN_10Y_YIELD,2026-05-26,1.7405
CN_10Y_YIELD,2026-05-27,1.7216
CN_10Y_YIELD,2026-05-28,1.7193
CN_10Y_YIELD,2026-05-29,1.709
CN_10Y_YIELD,2026-06-01,1.7009
CN_10Y_YIELD,2026-06-02,1.7036
CN_10Y_YIELD,2026-06-03,1.7128
CN_10Y_YIELD,2026-06-04,1.7081
CN_10Y_YIELD,2026-06-05,1.7207
CN_10Y_YIELD,2026-06-08,1.7275
CN_10Y_YIELD,2026-06-09,1.7376
CN_10Y_YIELD,2026-06-10,1.7476
CN_10Y_YIELD,2026-06-11,1.7475
CN_10Y_YIELD,2026-06-12,1.7427
CN_10Y_YIELD,2026-06-15,1.7446
CN_10Y_YIELD,2026-06-16,1.7324
CN_10Y_YIELD,2026-06-17,1.727
CN_10Y_YIELD,2026-06-18,1.7299
CN_10Y_YIELD,2026-06-22,1.7375
CN_10Y_YIELD,2026-06-23,1.7437
CN_10Y_YIELD,2026-06-24,1.7454
CN_10Y_YIELD,2026-06-25,1.7351
CN_10Y_YIELD,2026-06-26,1.7314
CN_10Y_YIELD,2026-06-29,1.717
CN_10Y_YIELD,2026-06-30,1.733
CN_10Y_YIELD,2026-07-01,1.7448
CN_10Y_YIELD,2026-07-02,1.741
CN_10Y_YIELD,2026-07-03,1.7463
CN_10Y_YIELD,2026-07-06,1.7379
CN_10Y_YIELD,2026-07-07,1.7406
CN_10Y_YIELD,2026-07-08,1.7385
CN_10Y_YIELD,2026-07-09,1.7376
CN_10Y_YIELD,2026-07-10,1.7398
CN_10Y_YIELD,2026-07-13,1.7442
CN_10Y_YIELD,2026-07-14,1.7402
CN_10Y_YIELD,2026-07-15,1.7406
CN_10Y_YIELD,2026-07-16,1.7437
CN_10Y_YIELD,2026-07-17,1.7404
CN_CONSUMER_CONFIDENCE,2007-01-01,112.4
CN_CONSUMER_CONFIDENCE,2007-02-01,111.8
CN_CONSUMER_CONFIDENCE,2007-03-01,111
CN_CONSUMER_CONFIDENCE,2007-04-01,112.3
CN_CONSUMER_CONFIDENCE,2007-05-01,112.8
CN_CONSUMER_CONFIDENCE,2007-06-01,113.7
CN_CONSUMER_CONFIDENCE,2007-07-01,112.9
CN_CONSUMER_CONFIDENCE,2007-08-01,113.5
CN_CONSUMER_CONFIDENCE,2007-09-01,113.1
CN_CONSUMER_CONFIDENCE,2007-10-01,112.6
CN_CONSUMER_CONFIDENCE,2007-11-01,112
CN_CONSUMER_CONFIDENCE,2007-12-01,113.1
CN_CONSUMER_CONFIDENCE,2008-01-01,111.6
CN_CONSUMER_CONFIDENCE,2008-02-01,110
CN_CONSUMER_CONFIDENCE,2008-03-01,110.3
CN_CONSUMER_CONFIDENCE,2008-04-01,109.7
CN_CONSUMER_CONFIDENCE,2008-05-01,110
CN_CONSUMER_CONFIDENCE,2008-06-01,109.8
CN_CONSUMER_CONFIDENCE,2008-07-01,110.2
CN_CONSUMER_CONFIDENCE,2008-08-01,109.3
CN_CONSUMER_CONFIDENCE,2008-09-01,108.9
CN_CONSUMER_CONFIDENCE,2008-10-01,107.9
CN_CONSUMER_CONFIDENCE,2008-11-01,105.2
CN_CONSUMER_CONFIDENCE,2008-12-01,101.8
CN_CONSUMER_CONFIDENCE,2009-01-01,101.254904
CN_CONSUMER_CONFIDENCE,2009-02-01,100.974872
CN_CONSUMER_CONFIDENCE,2009-03-01,100.321464
CN_CONSUMER_CONFIDENCE,2009-04-01,100.508152
CN_CONSUMER_CONFIDENCE,2009-05-01,101.16156
CN_CONSUMER_CONFIDENCE,2009-06-01,100.974872
CN_CONSUMER_CONFIDENCE,2009-07-01,102.118336
CN_CONSUMER_CONFIDENCE,2009-08-01,102.701736
CN_CONSUMER_CONFIDENCE,2009-09-01,102.79508
CN_CONSUMER_CONFIDENCE,2009-10-01,103.215128
CN_CONSUMER_CONFIDENCE,2009-11-01,103.331808
CN_CONSUMER_CONFIDENCE,2009-12-01,103.9245424
CN_CONSUMER_CONFIDENCE,2010-01-01,104.7
CN_CONSUMER_CONFIDENCE,2010-02-01,104.2
CN_CONSUMER_CONFIDENCE,2010-03-01,107.9
CN_CONSUMER_CONFIDENCE,2010-04-01,106.6
CN_CONSUMER_CONFIDENCE,2010-05-01,108
CN_CONSUMER_CONFIDENCE,2010-06-01,108.5
CN_CONSUMER_CONFIDENCE,2010-07-01,107.8
CN_CONSUMER_CONFIDENCE,2010-08-01,107.3
CN_CONSUMER_CONFIDENCE,2010-09-01,104.1019
CN_CONSUMER_CONFIDENCE,2010-10-01,103.7519
CN_CONSUMER_CONFIDENCE,2010-11-01,102.8884
CN_CONSUMER_CONFIDENCE,2010-12-01,100.4
CN_CONSUMER_CONFIDENCE,2011-01-01,99.9
CN_CONSUMER_CONFIDENCE,2011-02-01,99.6214
CN_CONSUMER_CONFIDENCE,2011-03-01,107.5994
CN_CONSUMER_CONFIDENCE,2011-04-01,106.6
CN_CONSUMER_CONFIDENCE,2011-05-01,105.8
CN_CONSUMER_CONFIDENCE,2011-06-01,108.1
CN_CONSUMER_CONFIDENCE,2011-07-01,105.6
CN_CONSUMER_CONFIDENCE,2011-08-01,105
CN_CONSUMER_CONFIDENCE,2011-09-01,103.37
CN_CONSUMER_CONFIDENCE,2011-10-01,100.47
CN_CONSUMER_CONFIDENCE,2011-11-01,97.03
CN_CONSUMER_CONFIDENCE,2011-12-01,100.46
CN_CONSUMER_CONFIDENCE,2012-01-01,103.92
CN_CONSUMER_CONFIDENCE,2012-02-01,105.016
CN_CONSUMER_CONFIDENCE,2012-03-01,100.044
CN_CONSUMER_CONFIDENCE,2012-04-01,103
CN_CONSUMER_CONFIDENCE,2012-05-01,104.179
CN_CONSUMER_CONFIDENCE,2012-06-01,99.3
CN_CONSUMER_CONFIDENCE,2012-07-01,98.2
CN_CONSUMER_CONFIDENCE,2012-08-01,99.4094
CN_CONSUMER_CONFIDENCE,2012-09-01,100.843
CN_CONSUMER_CONFIDENCE,2012-10-01,106.06
CN_CONSUMER_CONFIDENCE,2012-11-01,105.1
CN_CONSUMER_CONFIDENCE,2012-12-01,103.7
CN_CONSUMER_CONFIDENCE,2013-01-01,104.5
CN_CONSUMER_CONFIDENCE,2013-02-01,108.2
CN_CONSUMER_CONFIDENCE,2013-03-01,102.6
CN_CONSUMER_CONFIDENCE,2013-04-01,103.7
CN_CONSUMER_CONFIDENCE,2013-05-01,99
CN_CONSUMER_CONFIDENCE,2013-06-01,97
CN_CONSUMER_CONFIDENCE,2013-07-01,97.2
CN_CONSUMER_CONFIDENCE,2013-08-01,97.8
CN_CONSUMER_CONFIDENCE,2013-09-01,99.8
CN_CONSUMER_CONFIDENCE,2013-10-01,102.9
CN_CONSUMER_CONFIDENCE,2013-11-01,98.9
CN_CONSUMER_CONFIDENCE,2013-12-01,102.3
CN_CONSUMER_CONFIDENCE,2014-01-01,101.1
CN_CONSUMER_CONFIDENCE,2014-02-01,103.1
CN_CONSUMER_CONFIDENCE,2014-03-01,107.9
CN_CONSUMER_CONFIDENCE,2014-04-01,104.8
CN_CONSUMER_CONFIDENCE,2014-05-01,102.3
CN_CONSUMER_CONFIDENCE,2014-06-01,104.7
CN_CONSUMER_CONFIDENCE,2014-07-01,104.4
CN_CONSUMER_CONFIDENCE,2014-08-01,103.8
CN_CONSUMER_CONFIDENCE,2014-09-01,105.4
CN_CONSUMER_CONFIDENCE,2014-10-01,103.4
